front,back
"What is the capital of France?","Paris"
"What is 2 + 2?","4"
"Who wrote 'Romeo and Juliet'?","William Shakespeare"
"What is the largest planet in our solar system?","Jupiter"
"What year did World War II end?","1945"
"What is the chemical symbol for gold?","Au"
"How many continents are there?","7"
"What is the speed of light?","299,792,458 meters per second"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the smallest prime number?","2"
"What does CPU stand for?","Central Processing Unit"
"What is the boiling point of water at sea level?","100°C or 212°F"
"Who discovered penicillin?","Alexander Fleming"
"What is the longest river in the world?","The Nile River"
"What gas do plants absorb from the atmosphere?","Carbon dioxide (CO2)"
"How many bones are in the human body?","206"
"What is the currency of Japan?","Yen"
"Who developed the theory of relativity?","Albert Einstein"
"What is the largest ocean on Earth?","Pacific Ocean"
"How many days are in a leap year?","366"
